gene,class
SLMO2,L6
HRH3,L4
TCFL5,L6
CHRNA4,L5
C20orf27,L2
RNF24,L3
RASSF2,L6
HM13,L4
SEC23B,L6
FERMT1,L6
CCM2L,L1
MYL9,L1
HCK,L1
TM9SF4,L3
MAPRE1,L6
SLC32A1,L2
CST3,L1
SYNDIG1,L4
PIGU,L6
CELF4,L5
CDH20,L6
SMCHD1,L6
MYL12A,L1
RNF125,L6
ANKRD12,L6
NOL4,L2
POLI,L6
RIOK3,L6
PSMD10,L6
STS,L3
PGRMC1,L6
POLA1,L6
NKAP,L6
NXT2,L6
CHRDL1,L2
SRPX,L1
STAG2,L6
PLP2,L1
RS1,L6
MAGT1,L6
UBL4A,L3
CD99L2,L3
EEA1,L6
RP2,L6
PHF16,L6
PCYT1B,L6
TIMP1,L1
KLHL4,L6
KIAA0226L,L2
FGF14,L2
TNFSF13B,L2
FNDC3A,L6
KLF5,L3
DNAJC3,L6
PARP4,L6
SUPT20H,L6
RGCC,L6
CLN5,L6
OLFM4,L2
MGRN1,L2
MAPK3,L1
NUP93,L3
PLLP,L6
NDRG4,L4
SLC38A7,L3
SLC7A6,L3
FA2H,L6
MON1B,L6
MPG,L2
NECAB2,L2
HSDL1,L5
SEC14L5,L6
NME4,L1
METRN,L1
RHBDL1,L2
GSPT1,L6
CPPED1,L6
SALL1,L6
TOX3,L2
RBL2,L6
PYCARD,L1
STX4,L6
BCKDK,L4
CCP110,L6
AQP9,L2
LACTB,L6
CTSH,L1
CD276,L1
TMEM87A,L6
FAM189A1,L4
TJP1,L6
EIF3J,L6
RHOV,L2
SGK3,L6
ZDHHC2,L6
CA2,L6
CPQ,L6
CALB1,L2
IMPAD1,L6
SFRP1,L6
NIPAL2,L4
PLAT,L1
STK3,L6
EIF3E,L6
EMC2,L6
NDRG1,L6
ARMC1,L6
TRPS1,L6
CHRAC1,L6
SNX16,L5
GSDMD,L1
EEF1D,L1
SQLE,L6
ERI1,L6
SLC39A14,L3
DCTN6,L6
NEFM,L3
NEFL,L4
ARHGEF10,L6
KCTD9,L4
BNIP3L,L6
FCGRT,L1
RNASEH2A,L6
CD37,L1
LYL1,L1
MED25,L4
IL27RA,L2
RASAL3,L1
URI1,L6
RPS16,L1
EBI3,L1
SHD,L3
SLC1A5,L1
APLP1,L6
HNRNPUL1,L6
FZR1,L4
TGFB1,L1
PLIN3,L6
RPS19,L1
GLTSCR2,L1
NKG7,L1
GRIN2D,L2
PLA2G4C,L6
JAK3,L3
RPL18A,L1
ARRDC2,L6
PDE4C,L2
ISYNA1,L1
ATP4A,L1
MAG,L6
HAMP,L1
LSR,L1
HPN,L6
SCN1B,L4
CADM4,L6
CDK6,L6
TWISTNB,L6
PON3,L1
ITGB8,L6
HBP1,L6
DUS4L,L6
DLX5,L2
STEAP1B,L6
DFNA5,L2
H2AFV,L6
MET,L3
RNF32,L6
WNT2,L2
VIPR2,L3
CPVL,L1
COBL,L6
EPHB6,L4
HSPB1,L1
ZKSCAN1,L6
NUDT1,L6
PTPRZ1,L6
PCOLCE,L1
AP1S1,L2
C1GALT1,L6
PLOD3,L6
TMEM106B,L6
SFRP4,L1
RARRES2,L1
AHR,L6
GIMAP2,L1
TMEM176B,L1
POLD2,L1
FKTN,L6
PRUNE2,L4
MEGF9,L6
CORO2A,L4
OGN,L1
ECM2,L1
TLE4,L6
ENG,L1
KDM4C,L6
ELAVL2,L4
TESK1,L2
CA9,L2
FUBP3,L6
TYRP1,L4
MPDZ,L6
PIP5K1B,L2
SETX,L6
ABCA2,L6
SHB,L6
ABHD17B,L6
ERLIN1,L2
GDF10,L4
NSMCE4A,L6
PLEKHA1,L6
UNC5B,L6
C10orf54,L1
ACTA2,L1
LIPA,L6
LZTS2,L6
FBXW4,L6
TNKS2,L6
ARHGAP21,L6
CPEB3,L4
SUFU,L2
ACBD5,L6
LHPP,L6
SH3PXD2A,L6
OBFC1,L3
SMC3,L6
RPL28,L1
PBLD,L6
TSPAN14,L2
LGI1,L5
TBC1D12,L6
NUFIP2,L6
RPL19,L1
CASC3,L6
ASPA,L6
4-Sep,L6
MTMR4,L4
TRIM37,L4
DHX40,L6
PNPO,L4
MED13,L6
ENO3,L4
PFN1,L1
CPD,L6
ICAM2,L1
SYNGR2,L6
B9D1,L2
CYTH1,L6
LGALS3BP,L6
ABI3,L1
COL1A1,L1
SGCA,L1
LUC7L3,L6
SMURF2,L6
SLC16A6,L4
FAM20A,L1
TMEM104,L6
CDR2L,L6
PMP22,L6
RAB34,L1
ELF2,L6
TBC1D9,L4
GAB1,L6
KLHL2,L6
RPL34,L1
CLCN3,L6
GALNT7,L6
SEPSECS,L6
TRIM2,L6
SH3D19,L6
BST1,L6
UFSP2,L6
KLF3,L6
KLHL5,L6
PPARGC1A,L4
CRYAB,L6
HTATIP2,L6
CTSC,L1
ZBTB16,L4
ELP4,L6
VWA5A,L6
SIAE,L3
SNX15,L6
DTX4,L3
ATG2A,L4
OSBP,L4
SUV420H1,L6
MS4A6A,L1
MS4A4A,L1
ST3GAL4,L6
RNF141,L6
GALNT18,L2
BIRC2,L6
SLC15A3,L1
MDK,L1
SLC22A18,L4
C11orf58,L6
PITPNM1,L4
RPS13,L1
TCIRG1,L1
CHKA,L6
HPS5,L6
CLEC2B,L1
SLC11A2,L6
BIN2,L1
PTGES3,L6
LIN7A,L4
TENC1,L6
METAP2,L6
MAGOHB,L6
SH2B3,L2
AKAP3,L6
DUSP16,L6
CDKN1B,L6
CDK2AP1,L1
MGP,L1
ARHGDIB,L1
RERGL,L1
STX2,L6
TBC1D30,L4
NUP107,L6
ENO2,L4
C12orf57,L1
NT5DC3,L3
GOLT1B,L6
HCFC2,L6
COL12A1,L4
RWDD1,L6
CEP85L,L6
