gene,class
GABRA5,BIPO
GABRB1,BIPO
GABRB2,BIPO
GABRB3,BIPO
GABRG1,BIPO
GABRR1,BIPO
GABRR2,BIPO
GAD1,BIPO
GAD2,BIPO
GADL1,BIPO
GAL,BIPO
GALC,BIPO
GAP43,BIPO
GATA3,BIPO
GC,BIPO
GCH1,BIPO
GDF10,BIPO
GDF15,BIPO
GDNF,BIPO
GFAP,BIPO
GFRA2,BIPO
GIGYF1,BIPO
GLO1,BIPO
GLP1R,BIPO
GLT8D1,BIPO
GLYAT,BIPO
GNAL,BIPO
GNAZ,BIPO
GNB1L,BIPO
GNB3,BIPO
GNL3,BIPO
GOLGA6A,BIPO
GOT2,BIPO
GP1BB,BIPO
GPER1,BIPO
GPR151,BIPO
GPR166P,BIPO
GPR50,BIPO
GPR50-AS1,BIPO
GPR78,BIPO
GPRC5C,BIPO
GPRC5D,BIPO
GPRC6A,BIPO
GPRIN2,BIPO
GPX3,BIPO
GRAMD1B,BIPO
GRB2,BIPO
GRIA1,BIPO
GRIA2,BIPO
GRIA3,BIPO
GRIA4,BIPO
GRID1,BIPO
GRIK1,BIPO
GRIK2,BIPO
GRIK3,BIPO
GRIK4,BIPO
GRIK5,BIPO
GRIN1,BIPO
GRIN2A,BIPO
GRIN2B,BIPO
GRIN3A,BIPO
GRIP1,BIPO
GRK2,BIPO
GRK3,BIPO
GRM1,BIPO
GRM3,BIPO
GRM4,BIPO
GRM5,BIPO
GRM7,BIPO
GRN,BIPO
GRTP1,BIPO
GSDME,BIPO
GSK3A,BIPO
GSK3B,BIPO
GSS,BIPO
GSTM1,BIPO
GSTT1,BIPO
GSTZ1,BIPO
GTF2A1,BIPO
GULOP,BIPO
H3P40,BIPO
HAMP,BIPO
HAVCR1,BIPO
HBA1,BIPO
HBA2,BIPO
HCAR3,BIPO
HCCAT5,BIPO
HCG21,BIPO
HCG9,BIPO
HCRT,BIPO
HDAC5,BIPO
HDAC9,BIPO
HDGFL3,BIPO
HELLPAR,BIPO
HHIP,BIPO
HIF1A,BIPO
HINT1,BIPO
HIP1R,BIPO
HIRA,BIPO
HLA-A,BIPO
HLA-C,BIPO
HLA-DMA,BIPO
HLA-DMB,BIPO
HLA-DRA,BIPO
HLA-DRB1,BIPO
HLA-DRB4,BIPO
HLA-E,BIPO
HLA-G,BIPO
HLF,BIPO
HMGB1,BIPO
HMGXB4,BIPO
HOMER1,BIPO
HPGDS,BIPO
HPN,BIPO
HPSE,BIPO
HPT,BIPO
HRAS,BIPO
HSD52,BIPO
HSP90B1,BIPO
HSPA14,BIPO
HSPA1L,BIPO
HSPA4,BIPO
HSPA5,BIPO
HSPD1,BIPO
HSPE1,BIPO
HSPG2,BIPO
HTC2,BIPO
HTR1A,BIPO
HTR1B,BIPO
HTR1E,BIPO
HTR1F,BIPO
HTR2A,BIPO
HTR2A-AS1,BIPO
HTR2C,BIPO
HTR3A,BIPO
HTR3B,BIPO
HTR4,BIPO
HTR5A,BIPO
HTR6,BIPO
HTR7,BIPO
